datetime	open	high	low	close	volume
12.03.2018 00:00	0.134	0.14	0.134	0.14	4
14.03.2018 00:00	0.136	0.136	0.136	0.136	2
15.03.2018 00:00	0.136	0.136	0.136	0.136	5
16.03.2018 00:00	0.132	0.136	0.13	0.134	63
19.03.2018 00:00	0.134	0.134	0.134	0.134	1
21.03.2018 00:00	0.13	0.132	0.13	0.13	2
22.03.2018 00:00	0.132	0.132	0.13	0.13	2
23.03.2018 00:00	0.132	0.132	0.132	0.132	1
27.03.2018 00:00	0.124	0.128	0.124	0.128	4
28.03.2018 00:00	0.128	0.128	0.12	0.124	8
30.03.2018 00:00	0.118	0.118	0.118	0.118	4
02.04.2018 00:00	0.116	0.124	0.116	0.122	182
03.04.2018 00:00	0.12	0.124	0.12	0.122	20
04.04.2018 00:00	0.122	0.13	0.122	0.122	44
05.04.2018 00:00	0.12	0.13	0.12	0.13	5
09.04.2018 00:00	0.142	0.142	0.118	0.118	5
10.04.2018 00:00	0.124	0.128	0.12	0.12	2
12.04.2018 00:00	0.116	0.128	0.116	0.128	11
13.04.2018 00:00	0.118	0.128	0.118	0.12	16
16.04.2018 00:00	0.116	0.134	0.116	0.116	16
17.04.2018 00:00	0.116	0.13	0.116	0.118	61
18.04.2018 00:00	0.118	0.122	0.118	0.122	67
19.04.2018 00:00	0.122	0.122	0.122	0.122	14
20.04.2018 00:00	0.122	0.122	0.122	0.122	4
23.04.2018 00:00	0.122	0.122	0.12	0.12	6
24.04.2018 00:00	0.122	0.122	0.122	0.122	3
25.04.2018 00:00	0.12	0.138	0.12	0.12	36
26.04.2018 00:00	0.122	0.154	0.122	0.134	38
27.04.2018 00:00	0.134	0.154	0.122	0.154	430
28.04.2018 00:00	0.15	0.152	0.144	0.152	44
30.04.2018 00:00	0.14	0.146	0.134	0.146	13
04.05.2018 00:00	0.142	0.144	0.128	0.132	89
07.05.2018 00:00	0.138	0.14	0.132	0.136	74
08.05.2018 00:00	0.138	0.14	0.132	0.134	102
10.05.2018 00:00	0.14	0.14	0.138	0.14	1
11.05.2018 00:00	0.14	0.14	0.128	0.132	159
14.05.2018 00:00	0.136	0.14	0.13	0.134	41
15.05.2018 00:00	0.132	0.14	0.132	0.134	25
16.05.2018 00:00	0.134	0.138	0.134	0.138	21
17.05.2018 00:00	0.128	0.132	0.128	0.132	3
18.05.2018 00:00	0.13	0.134	0.116	0.124	85
21.05.2018 00:00	0.136	0.136	0.128	0.13	2
22.05.2018 00:00	0.122	0.13	0.122	0.122	12
23.05.2018 00:00	0.122	0.128	0.122	0.124	12
24.05.2018 00:00	0.13	0.13	0.128	0.128	3
28.05.2018 00:00	0.122	0.128	0.122	0.124	3
29.05.2018 00:00	0.128	0.128	0.124	0.128	2
31.05.2018 00:00	0.124	0.134	0.124	0.134	3
01.06.2018 00:00	0.128	0.128	0.128	0.128	4
05.06.2018 00:00	0.124	0.128	0.124	0.128	13
06.06.2018 00:00	0.124	0.124	0.122	0.122	4
07.06.2018 00:00	0.124	0.134	0.122	0.122	7
08.06.2018 00:00	0.118	0.124	0.118	0.122	19
09.06.2018 00:00	0.122	0.122	0.122	0.122	2
11.06.2018 00:00	0.124	0.124	0.122	0.122	14
13.06.2018 00:00	0.122	0.122	0.118	0.118	63
14.06.2018 00:00	0.118	0.118	0.118	0.118	4
18.06.2018 00:00	0.118	0.132	0.116	0.132	4
19.06.2018 00:00	0.116	0.118	0.116	0.118	3
22.06.2018 00:00	0.118	0.118	0.118	0.118	4
25.06.2018 00:00	0.116	0.116	0.116	0.116	13
26.06.2018 00:00	0.116	0.116	0.112	0.116	6
28.06.2018 00:00	0.118	0.118	0.118	0.118	1
02.07.2018 00:00	0.114	0.114	0.114	0.114	5
03.07.2018 00:00	0.104	0.108	0.096	0.102	98
05.07.2018 00:00	0.098	0.106	0.098	0.104	15
06.07.2018 00:00	0.102	0.112	0.102	0.112	4
09.07.2018 00:00	0.112	0.124	0.108	0.124	16
10.07.2018 00:00	0.13	0.13	0.114	0.116	24
13.07.2018 00:00	0.118	0.118	0.118	0.118	1
16.07.2018 00:00	0.12	0.124	0.108	0.124	6
18.07.2018 00:00	0.13	0.13	0.118	0.124	32
20.07.2018 00:00	0.13	0.13	0.124	0.13	6
23.07.2018 00:00	0.13	0.154	0.13	0.14	978
24.07.2018 00:00	0.146	0.146	0.124	0.138	171
25.07.2018 00:00	0.132	0.136	0.122	0.136	48
26.07.2018 00:00	0.136	0.14	0.132	0.132	83
27.07.2018 00:00	0.132	0.132	0.132	0.132	35
30.07.2018 00:00	0.124	0.138	0.122	0.128	31
31.07.2018 00:00	0.134	0.134	0.13	0.134	4
01.08.2018 00:00	0.14	0.166	0.136	0.152	375
02.08.2018 00:00	0.156	0.168	0.144	0.146	287
03.08.2018 00:00	0.154	0.162	0.136	0.146	125
06.08.2018 00:00	0.146	0.146	0.138	0.138	30
07.08.2018 00:00	0.138	0.14	0.134	0.14	31
08.08.2018 00:00	0.136	0.14	0.13	0.138	45
09.08.2018 00:00	0.134	0.134	0.13	0.13	47
10.08.2018 00:00	0.13	0.13	0.13	0.13	3
14.08.2018 00:00	0.13	0.13	0.13	0.13	10
15.08.2018 00:00	0.122	0.122	0.122	0.122	2
16.08.2018 00:00	0.12	0.124	0.104	0.12	50
17.08.2018 00:00	0.122	0.132	0.12	0.132	23
20.08.2018 00:00	0.134	0.134	0.13	0.132	11
21.08.2018 00:00	0.132	0.132	0.132	0.132	1
22.08.2018 00:00	0.13	0.13	0.124	0.13	33
24.08.2018 00:00	0.128	0.13	0.128	0.13	2
27.08.2018 00:00	0.124	0.13	0.124	0.13	5
29.08.2018 00:00	0.13	0.13	0.124	0.128	23
30.08.2018 00:00	0.124	0.128	0.122	0.128	6
31.08.2018 00:00	0.124	0.134	0.124	0.134	12
03.09.2018 00:00	0.128	0.128	0.128	0.128	4
04.09.2018 00:00	0.124	0.124	0.124	0.124	28
05.09.2018 00:00	0.124	0.124	0.124	0.124	9
06.09.2018 00:00	0.122	0.122	0.122	0.122	27
10.09.2018 00:00	0.118	0.12	0.118	0.12	12
11.09.2018 00:00	0.118	0.122	0.118	0.122	4
18.09.2018 00:00	0.118	0.122	0.118	0.122	26
20.09.2018 00:00	0.128	0.128	0.128	0.128	1
21.09.2018 00:00	0.128	0.128	0.128	0.128	1
24.09.2018 00:00	0.122	0.124	0.1	0.124	28
25.09.2018 00:00	0.128	0.13	0.116	0.122	14
27.09.2018 00:00	0.116	0.124	0.116	0.124	42
28.09.2018 00:00	0.124	0.124	0.124	0.124	15
01.10.2018 00:00	0.128	0.128	0.128	0.128	2
02.10.2018 00:00	0.128	0.13	0.124	0.13	9
03.10.2018 00:00	0.13	0.148	0.124	0.146	180
04.10.2018 00:00	0.124	0.144	0.124	0.136	41
05.10.2018 00:00	0.138	0.14	0.138	0.14	3
09.10.2018 00:00	0.136	0.136	0.12	0.13	35
11.10.2018 00:00	0.128	0.128	0.122	0.128	6
16.10.2018 00:00	0.13	0.13	0.124	0.124	3
19.10.2018 00:00	0.13	0.134	0.13	0.134	17
22.10.2018 00:00	0.128	0.13	0.128	0.13	3
23.10.2018 00:00	0.124	0.124	0.122	0.124	62
29.10.2018 00:00	0.12	0.13	0.12	0.13	3
30.10.2018 00:00	0.13	0.13	0.13	0.13	1
31.10.2018 00:00	0.13	0.13	0.13	0.13	1
01.11.2018 00:00	0.13	0.134	0.13	0.13	37
02.11.2018 00:00	0.128	0.132	0.128	0.132	3
06.11.2018 00:00	0.124	0.132	0.124	0.132	2
08.11.2018 00:00	0.132	0.132	0.132	0.132	25
12.11.2018 00:00	0.124	0.128	0.124	0.124	103
14.11.2018 00:00	0.118	0.124	0.112	0.124	31
15.11.2018 00:00	0.122	0.128	0.116	0.122	272
19.11.2018 00:00	0.124	0.138	0.122	0.128	50
20.11.2018 00:00	0.132	0.132	0.12	0.122	33
21.11.2018 00:00	0.124	0.124	0.12	0.124	14
22.11.2018 00:00	0.118	0.118	0.118	0.118	2
23.11.2018 00:00	0.124	0.152	0.124	0.14	459
26.11.2018 00:00	0.134	0.134	0.116	0.122	380
