datetime	open	high	low	close	volume
07.03.2018 00:00	0.0813	0.0823	0.0813	0.0817	44
09.03.2018 00:00	0.0814	0.0814	0.0811	0.0811	45
12.03.2018 00:00	0.0811	0.0812	0.0809	0.0811	58
13.03.2018 00:00	0.0811	0.0813	0.0804	0.0804	378
14.03.2018 00:00	0.0808	0.0808	0.0806	0.0806	63
15.03.2018 00:00	0.0806	0.0806	0.0804	0.0804	48
16.03.2018 00:00	0.0803	0.0807	0.0796	0.0797	353
19.03.2018 00:00	0.0799	0.0801	0.0798	0.0799	2097
20.03.2018 00:00	0.0802	0.0802	0.0798	0.0798	103
21.03.2018 00:00	0.0799	0.0799	0.0796	0.0796	116
22.03.2018 00:00	0.0797	0.0797	0.0788	0.0792	297
23.03.2018 00:00	0.0792	0.0794	0.0789	0.0789	37
26.03.2018 00:00	0.0792	0.0798	0.0782	0.0782	20
27.03.2018 00:00	0.0782	0.0788	0.0777	0.0782	170
28.03.2018 00:00	0.0787	0.0792	0.0777	0.0787	457
29.03.2018 00:00	0.0787	0.0803	0.0782	0.0787	60
30.03.2018 00:00	0.0792	0.0803	0.078	0.0785	74
02.04.2018 00:00	0.0798	0.0803	0.0777	0.0792	144
03.04.2018 00:00	0.0789	0.0789	0.0789	0.0789	85
04.04.2018 00:00	0.0792	0.0792	0.0506	0.0782	534
05.04.2018 00:00	0.0777	0.0784	0.0777	0.0782	45
06.04.2018 00:00	0.078	0.0784	0.078	0.078	17
09.04.2018 00:00	0.078	0.078	0.0653	0.0683	981
10.04.2018 00:00	0.0682	0.0745	0.0675	0.0681	316
11.04.2018 00:00	0.0683	0.0738	0.0683	0.0685	177
12.04.2018 00:00	0.0695	0.0728	0.0686	0.0696	137
13.04.2018 00:00	0.0697	0.0728	0.0696	0.0711	1301
16.04.2018 00:00	0.0685	0.0719	0.0685	0.07	99
17.04.2018 00:00	0.0701	0.0707	0.0683	0.07	1421
18.04.2018 00:00	0.069	0.0707	0.0688	0.07	124
19.04.2018 00:00	0.0699	0.0715	0.0695	0.0705	219
20.04.2018 00:00	0.0707	0.0709	0.0699	0.0701	224
23.04.2018 00:00	0.0701	0.0898	0.07	0.0701	25
24.04.2018 00:00	0.0709	0.0827	0.0709	0.0793	3631
25.04.2018 00:00	0.0793	0.0799	0.0784	0.0796	2106
26.04.2018 00:00	0.0793	0.0794	0.0754	0.0769	1567
27.04.2018 00:00	0.0773	0.0773	0.0754	0.077	464
28.04.2018 00:00	0.0778	0.0794	0.076	0.0765	276
02.05.2018 00:00	0.0768	0.0782	0.074	0.0755	242
03.05.2018 00:00	0.0758	0.0769	0.0745	0.0769	202
04.05.2018 00:00	0.0769	0.078	0.075	0.076	274
07.05.2018 00:00	0.077	0.0775	0.0764	0.077	77
08.05.2018 00:00	0.0767	0.0774	0.0767	0.0774	18
10.05.2018 00:00	0.077	0.0772	0.0767	0.0772	22
11.05.2018 00:00	0.0767	0.0769	0.0749	0.0749	197
14.05.2018 00:00	0.0753	0.076	0.0748	0.0749	171
15.05.2018 00:00	0.0746	0.0762	0.0746	0.0751	757
16.05.2018 00:00	0.075	0.0762	0.0738	0.0762	118
17.05.2018 00:00	0.0744	0.0744	0.05	0.0736	1337
18.05.2018 00:00	0.073	0.0741	0.0724	0.0726	314
21.05.2018 00:00	0.0729	0.0735	0.0719	0.0729	45
22.05.2018 00:00	0.0733	0.0735	0.0729	0.0735	87
23.05.2018 00:00	0.0726	0.0734	0.0709	0.0724	40
24.05.2018 00:00	0.0724	0.0731	0.0715	0.0731	27
25.05.2018 00:00	0.072	0.0734	0.072	0.0729	23
28.05.2018 00:00	0.0702	0.0729	0.0702	0.0728	15
30.05.2018 00:00	0.0724	0.0734	0.0709	0.0712	57
31.05.2018 00:00	0.0709	0.0754	0.0709	0.0734	619
01.06.2018 00:00	0.0734	0.0734	0.0726	0.0734	105
04.06.2018 00:00	0.0725	0.0728	0.0725	0.0725	16
05.06.2018 00:00	0.0725	0.0729	0.0711	0.0715	198
06.06.2018 00:00	0.0719	0.072	0.0709	0.0709	62
07.06.2018 00:00	0.0709	0.072	0.07	0.0709	142
08.06.2018 00:00	0.0714	0.072	0.07	0.07	499
09.06.2018 00:00	0.0697	0.0715	0.0697	0.0709	95
